Area,Item,2000,2010,2015,2020,Land Area(Km2),2000 Population,2010 Population,2015 Population,2020 Population,2000/area,2010/area,2015/area,2020/area,2000/pop,2010/pop,2015/pop,2020/pop
Mali,All sectors without LULUCF,893.67,2061.78,3181.56,3892.22,1240192.0,11239101.0,15529181.0,18112907.0,21224040.0,0.0007205900376715863,0.0016624683919909177,0.002565376973887914,0.003138401150789555,7.951436685193949e-05,0.00013276810927762386,0.0001756515395347638,0.00018338732870838915
Malta,All sectors without LULUCF,2152.63,2606.654,1677.571,2217.52,316.0,399212.0,418755.0,456579.0,515357.0,6.812120253164557,8.24890506329114,5.308768987341772,7.017468354430379,0.00539219762932978,0.00622477104750988,0.0036742184813581,0.004302881303640001
Mauritania,All sectors without LULUCF,1124.28,2028.13,2996.1,3648.7,1030700.0,2695003.0,3419461.0,3946220.0,4498604.0,0.0010907926651790045,0.0019677209663335597,0.0029068594159309207,0.0035400213447171823,0.0004171720773594686,0.0005931139439812298,0.0007592328861543452,0.0008110738353498107
Mauritius,All sectors without LULUCF,2699.4858,3930.352,4224.852,4795.352,2040.0,1215930.0,1283330.0,1293153.0,1297828.0,1.3232773529411765,1.926643137254902,2.071005882352941,2.350662745098039,0.0022200996767906046,0.0030626199029088388,0.0032670936849699917,0.003694905642350142
Mexico,All sectors without LULUCF,426036.4,501269.0,500047.0,391475.0,1964375.0,97873442.0,112532401.0,120149897.0,125998302.0,0.21688139993636654,0.25517989182309897,0.25455781100859054,0.19928730512249443,0.0043529316155040305,0.00445444152569001,0.00416185958111974,0.0031069863147838296
Mongolia,All sectors without LULUCF,7516.81,14096.791,23506.828,39912.895,1564116.0,2450979.0,2702520.0,2964749.0,3294335.0,0.004805788061755011,0.009012625022696525,0.015028826506473945,0.02551786120722504,0.003066860221976606,0.005216165282773115,0.007928775083489362,0.012115615139322503
Morocco,All sectors without LULUCF,33460.0,54600.0,58790.0,63110.0,446550.0,28554415.0,32464865.0,34680458.0,36688772.0,0.07493001903482253,0.1222707423580786,0.13165379016907403,0.1413279587952077,0.0011717977762808309,0.0016818181748176066,0.00169519099199901,0.0017201447898010868
Mozambique,All sectors without LULUCF,1478.0,3600.0,7360.0,9070.0,799380.0,17768505.0,23073723.0,26843246.0,31178239.0,0.0018489329230153369,0.004503490204908804,0.009207135530035777,0.01134629337736746,8.318088663058597e-05,0.00015602163552019759,0.0002741844261308785,0.000290908027230146
Myanmar,All sectors without LULUCF,10541.6,13501.9,22605.0,29463.9,676578.0,45538332.0,49390988.0,51483949.0,53423198.0,0.015580760828758844,0.019956161743361445,0.03341078190541224,0.04354841570373261,0.0002314884963287632,0.0002733676839993563,0.00043906888339120993,0.0005515188364425507
Namibia,All sectors without LULUCF,1650.25,3180.5,3898.4,4024.86,824292.0,1819141.0,2099271.0,2282704.0,2489098.0,0.002002021128435069,0.0038584627777535144,0.004729392011568716,0.004882808519311118,0.0009071589283073714,0.0015150497482221208,0.0017077991715088773,0.0016169953935120272
Nauru,All sectors without LULUCF,84.683,44.452,55.467,55.087,21.0,10377.0,10241.0,11185.0,12315.0,4.03252380952381,2.116761904761905,2.641285714285714,2.6231904761904765,0.0081606437313289,0.00434059173908798,0.0049590523021904335,0.0044731628095818115
Nepal,All sectors without LULUCF,3106.0,4920.0,6830.0,14550.0,147181.0,24559500.0,27161567.0,27610325.0,29348627.0,0.021103267405439562,0.03342822782832023,0.04640544635516813,0.0988578688825324,0.0001264683727274578,0.0001811382973596479,0.0002473712279735932,0.0004957642481878284
Netherlands,All sectors without LULUCF,188412.2,199812.9,179213.1,155113.6,41543.0,15899135.0,16617116.0,17041107.0,17434557.0,4.5353537298702555,4.80978504200467,4.313918108947356,3.7338083431625066,0.01185046859467512,0.012024523389016481,0.010516517500887708,0.008896905152221534
New Zealand,All sectors without LULUCF,36223.16,34162.6,38332.4,33162.15,268838.0,3855266.0,4346338.0,4590590.0,5061133.0,0.13473973173435305,0.1270750414747915,0.14258549758590677,0.12335365536122127,0.00939576153759559,0.007860088193785204,0.008350212064244465,0.006552317435641387
Nicaragua,All sectors without LULUCF,3752.0,4509.0,5302.0,4990.0,130370.0,5123222.0,5855734.0,6298598.0,6755895.0,0.028779627214850043,0.034586177801641485,0.04066886553654982,0.038275676919536705,0.0007323516334056966,0.0007700144849475745,0.0008417746298461975,0.0007386142028554322
Niger,All sectors without LULUCF,779.8,1231.6,2180.9,2625.0,1267000.0,11622665.0,16647543.0,20128124.0,24333639.0,0.0006154696132596685,0.0009720599842146803,0.0017213101815311761,0.0020718232044198894,6.70930462161647e-05,7.398088714953311e-05,0.00010835088257604138,0.00010787535723695087
Nigeria,All sectors without LULUCF,80830.0,117500.0,112200.0,148600.0,923768.0,122851984.0,160952853.0,183995785.0,208327405.0,0.08750032475686537,0.12719643893271904,0.12145906764469001,0.16086290064171957,0.0006579462322724882,0.0007300274447449527,0.0006097965776770375,0.0007133002976732706
North Macedonia,All sectors without LULUCF,12303.1,9037.1,7527.3,7122.7,25713.0,2037936.0,2093828.0,2107962.0,2111072.0,0.4784778127795279,0.35146035079531757,0.29274297048185743,0.27700773927585265,0.006037039435978363,0.004316066076105583,0.0035708897978236802,0.0033739730336056753
Norway,All sectors without LULUCF,47590.143,56980.138,54020.196,51940.179,323802.0,4491202.0,4889741.0,5190356.0,5379839.0,0.14697297422498934,0.17597216200023472,0.16683095224859637,0.1604072210795486,0.010596304285578782,0.011652997162835414,0.010407801699921932,0.009654597284416875
Oman,All sectors without LULUCF,22327.0,51710.0,72100.0,77900.0,309500.0,2344253.0,2881914.0,4191776.0,4543399.0,0.0721389337641357,0.16707592891760906,0.23295638126009693,0.2516962843295638,0.009524142658663548,0.017942936534539197,0.017200346583405222,0.01714575365271683
Pakistan,All sectors without LULUCF,109230.0,160600.0,176400.0,262900.0,796095.0,154369924.0,194454498.0,210969298.0,227196741.0,0.13720724285418198,0.20173471759023734,0.22158159516138148,0.3302369692059365,0.00070758601915228,0.0008259001548012533,0.0008361406217505639,0.0011571468800250088
Panama,All sectors without LULUCF,5749.0,9104.0,10792.0,10230.0,75420.0,3001731.0,3623617.0,3957099.0,4294396.0,0.0762264651286131,0.12071068682047202,0.14309201803235216,0.13564041368337312,0.0019152282466350248,0.0025124068023745336,0.002727250442811767,0.0023821743500133663
Papua New Guinea,All sectors without LULUCF,3019.687,4777.423,6579.451,8754.111,462840.0,5508297.0,7583269.0,8682174.0,9749640.0,0.006524256762596145,0.01032197519661222,0.014215389767522254,0.018913903292714546,0.0005482070048147367,0.0006299951907284312,0.0007578114651929344,0.0008978906913486037
Paraguay,All sectors without LULUCF,3769.2,5223.0745,6261.0119,6549.0,406752.0,5123819.0,5768613.0,6177950.0,6618695.0,0.009266580127448666,0.012840931329163715,0.0153927009578318,0.01610071984894973,0.0007356231748233105,0.0009054298667634664,0.0010134448967699641,0.0009894699785985002
Peru,All sectors without LULUCF,29096.73,43487.98,49818.63,46889.27,1285216.0,26654439.0,29229572.0,30711863.0,33304756.0,0.022639564088837986,0.03383709819983567,0.038762846089684534,0.03648357163309514,0.001091627927340733,0.0014878076216784837,0.0016221298590710696,0.0014078851080608426
Philippines,All sectors without LULUCF,73540.0,84519.0,113531.0,137143.0,300000.0,77958223.0,94636700.0,103031365.0,112190977.0,0.24513333333333334,0.28173,0.37843666666666664,0.45714333333333335,0.0009433257605166296,0.0008930890447363443,0.001101907171665638,0.0012224066824910527
Poland,All sectors without LULUCF,309193.0,326506.0,299445.0,291703.0,312685.0,38504431.0,38597353.0,38553146.0,38428366.0,0.9888322113308922,1.0442010329884708,0.9576570670163264,0.932897324783728,0.00803006282575634,0.008459284759760597,0.00776707042273541,0.007590824965079181
Portugal,All sectors without LULUCF,63315.91,51342.1,51515.7,39580.7,92212.0,10300626.0,10588401.0,10365435.0,10298192.0,0.686634169088622,0.5567832820023424,0.5586659003166615,0.4292358912072181,0.0061468021458113324,0.0048489002258225765,0.0049699506098875735,0.0038434610657870814
Qatar,All sectors without LULUCF,39120.0062,79280.0202,120900.0281,107200.0365,11586.0,645937.0,1713504.0,2414573.0,2760385.0,3.3764894010012085,6.842742982910409,10.435010193336785,9.252549326773693,0.06056319145675198,0.046267776556109586,0.05007097656604294,0.038835175709185495
Romania,All sectors without LULUCF,95653.8,83843.85,75997.24,72013.3,238391.0,21919876.0,20335211.0,19906079.0,19442038.0,0.4012475303178392,0.35170727921775574,0.31879240407565723,0.30208061545947623,0.004363792933865137,0.004123087289332774,0.0038177905352430284,0.0037039995498414314
Rwanda,All sectors without LULUCF,546.7,599.9,957.2,1053.0,26338.0,8109989.0,10309031.0,11642959.0,13146362.0,0.02075708102361607,0.02277697623206014,0.03634292656997494,0.03998025666337611,6.74106956248646e-05,5.819169619336676e-05,8.221277769680372e-05,8.009820511560537e-05
Saint Kitts and Nevis,All sectors without LULUCF,172.473,220.673,235.645,231.641,261.0,45461.0,47403.0,47790.0,47642.0,0.660816091954023,0.8454904214559387,0.9028544061302682,0.8875134099616858,0.00379386727084754,0.004655253886884796,0.004930843272651183,0.004862117459384576
Saint Lucia,All sectors without LULUCF,349.9029,369.301,361.2222,332.2607,616.0,159500.0,170935.0,175623.0,179237.0,0.5680241883116883,0.5995146103896104,0.5863996753246753,0.5393842532467532,0.0021937485893416928,0.002160476204405183,0.002056804632650621,0.001853750620686577
Saint Vincent and the Grenadines,All sectors without LULUCF,148.0548,221.2848,214.2448,241.2254,389.0,113813.0,109308.0,106482.0,104632.0,0.38060359897172236,0.5688555269922879,0.5507578406169665,0.6201167095115682,0.001300860182931651,0.002024415413327478,0.002012028324035987,0.002305464867344598
Samoa,All sectors without LULUCF,144.4,188.39,236.59,341.78,2831.0,184008.0,194672.0,203571.0,214929.0,0.05100671140939597,0.06654539032144118,0.08357117626280466,0.12072765807135287,0.0007847484891961219,0.0009677303361551738,0.0011621989379626764,0.0015901995542714105
Sao Tome and Principe,All sectors without LULUCF,48.366,99.917,115.02,114.14,836.0,143714.0,182138.0,201124.0,218641.0,0.057854066985645936,0.11951794258373206,0.13758373205741625,0.1365311004784689,0.00033654341261115826,0.0005485785503299696,0.0005718860006761997,0.0005220429837038799
Saudi Arabia,All sectors without LULUCF,311500.0,562700.0,701300.0,613200.0,2149690.0,21547390.0,29411929.0,32749848.0,35997107.0,0.14490461415366868,0.26175867218064,0.3262330847703622,0.285250431457559,0.014456507261436304,0.019131693130362174,0.021413839844386454,0.017034702260934467
Senegal,All sectors without LULUCF,3973.0,7400.0,9950.0,11600.0,196722.0,9704287.0,12530121.0,14356181.0,16436119.0,0.02019601264728907,0.03761653500879414,0.05057898964020292,0.05896646028405567,0.0004094066879926367,0.0005905768986588397,0.0006930812588668253,0.0007057627168554815
Seychelles,All sectors without LULUCF,573.92,446.38,482.85,399.17,455.0,80060.0,92409.0,99240.0,105530.0,1.2613626373626372,0.9810549450549451,1.0612087912087913,0.8772967032967033,0.007168623532350736,0.004830481879470615,0.004865477629987908,0.0037825262958400456
Sierra Leone,All sectors without LULUCF,410.9,606.3,937.6,1223.9,71740.0,4584067.0,6436698.0,7314773.0,8233969.0,0.005727627543908559,0.008451352104822972,0.013069417340395875,0.017060217451909675,8.963656072217095e-05,9.41942592304315e-05,0.0001281789605774506,0.000148640345864795
Singapore,All sectors without LULUCF,51226.8,63334.7,72097.8,46841.3,716.0,4053602.0,5163590.0,5650018.0,5909869.0,71.54581005586593,88.45628491620111,100.69525139664805,65.42081005586593,0.012637353149125148,0.012265633018888021,0.012760631913031074,0.00792594556664454
Slovakia,All sectors without LULUCF,38082.4,38620.3,33650.3,30842.0,49035.0,5376690.0,5396424.0,5424444.0,5456681.0,0.7766370959518711,0.7876068114612013,0.6862506372998879,0.6289793004996431,0.0070828706880999275,0.0071566466978873425,0.0062034560592753845,0.005652153754269308
Slovenia,All sectors without LULUCF,15201.42,16033.45,13442.0,12148.59,20273.0,1984339.0,2057286.0,2080862.0,2117641.0,0.7498357421200612,0.790877028560154,0.663049376017363,0.5992497410348739,0.0076606970885519056,0.007793495897021611,0.006459822900317273,0.005736850580433606
Solomon Islands,All sectors without LULUCF,231.05,338.48,301.59,337.03,28896.0,429978.0,540394.0,612660.0,691191.0,0.007995916389811739,0.01171373200442968,0.010437084717607972,0.011663552048726466,0.0005373530738781984,0.0006263578056010984,0.0004922632455195377,0.0004876076222057289
Somalia,All sectors without LULUCF,506.5,646.6,666.7,624.9,637657.0,8721465.0,12026649.0,13763906.0,16537016.0,0.0007943141845851296,0.001014024781347966,0.001045546430134069,0.00097999394658884,5.807510550119733e-05,5.3763937070084946e-05,4.8438284888025245e-05,3.778795400572872e-05
South Africa,All sectors without LULUCF,467400.0,527800.0,509700.0,479700.0,1219090.0,46813266.0,51784921.0,55876504.0,58801927.0,0.3834007333338802,0.4329458858656867,0.41809874578579104,0.3934902263163507,0.009984349308164057,0.010192156129773762,0.00912190211470639,0.008157895913853299
Spain,All sectors without LULUCF,306830.0,283800.0,265720.0,216020.0,505370.0,40741651.0,46572772.0,46431342.0,47363807.0,0.6071393236638503,0.5615687516077329,0.5257929833587273,0.4274491956388389,0.007531113552565654,0.006093689248301561,0.005722858495022608,0.004560866486091373
Sri Lanka,All sectors without LULUCF,10204.0,13131.0,19942.0,22980.0,65610.0,18776371.0,20668557.0,21336697.0,21715079.0,0.15552507239750038,0.2001371742112483,0.3039475689681451,0.3502514860539552,0.000543448997679051,0.0006353128571094731,0.0009346338845229887,0.0010582508127186642
Suriname,All sectors without LULUCF,2241.539,2442.185,2751.894,2715.809,163820.0,478998.0,546080.0,575475.0,607065.0,0.013682938591136614,0.014907734098400684,0.016798278598461724,0.016578006348431207,0.004679641668649974,0.004472211031350717,0.004781952300273687,0.004473670858968974
Sweden,All sectors without LULUCF,53780.0,57797.0,41326.0,41385.0,450295.0,8871043.0,9381729.0,9849349.0,10368969.0,0.11943281626489302,0.12835363483938306,0.09177539168767142,0.09190641690447374,0.00606242129589497,0.006160591507173145,0.004195810301777305,0.003991235772814057
Switzerland,All sectors without LULUCF,39464.4,39510.2,35879.53,29688.63,41277.0,7182059.0,7822435.0,8281732.0,8638613.0,0.9560869249218693,0.9571965016837464,0.869237832206798,0.7192535794752526,0.005494858786317406,0.0050508824937503475,0.0043323703302642486,0.003436735735238979
Tajikistan,All sectors without LULUCF,2867.0,3219.0,5670.0,6520.0,144100.0,6272998.0,7621779.0,8524063.0,9543207.0,0.01989590562109646,0.022338653712699514,0.03934767522553782,0.04524635669673838,0.0004570382455087663,0.0004223423429097065,0.0006651757501088389,0.000683208485365559
Thailand,All sectors without LULUCF,180009.42,271214.0,300516.5,289818.6,513120.0,63066603.0,68270489.0,70294397.0,71475664.0,0.350813493919551,0.5285586217648893,0.5856651465544123,0.564816417212348,0.0028542748687447146,0.003972638895262637,0.004275113135972985,0.004054787095087357
Togo,All sectors without LULUCF,1354.094,2631.147,2714.18,3613.211,56785.0,5008035.0,6571855.0,7473229.0,8442580.0,0.02384598045258431,0.04633524698423879,0.047797481729329926,0.06362967332922426,0.00027038429244204566,0.0004003659545136038,0.00036318705073804105,0.0004279747423181065
Tonga,All sectors without LULUCF,95.876,117.527,121.58,181.629,747.0,102603.0,107383.0,106122.0,105254.0,0.12834805890227577,0.15733199464524766,0.16275769745649263,0.243144578313253,0.000934436614913794,0.0010944656044252815,0.0011456625393415126,0.0017256256294297602
Trinidad and Tobago,All sectors without LULUCF,34290.0,64200.0,59900.0,44800.0,5128.0,1332203.0,1410296.0,1460177.0,1518147.0,6.686817472698908,12.519500780031201,11.680967238689547,8.736349453978159,0.025739320508961473,0.04552235842688344,0.04102242399380349,0.029509658814330892
Tunisia,All sectors without LULUCF,20190.0,28050.0,30340.0,23780.0,163610.0,9893316.0,10895063.0,11557779.0,12161723.0,0.1234032149624106,0.1714442882464397,0.18544098771468737,0.14534563901961983,0.002040771769546227,0.0025745606060286206,0.0026250718239204953,0.0019553150486982807
Turkmenistan,All sectors without LULUCF,37979.0,58720.0,74710.0,82680.0,488100.0,4569132.0,5267970.0,5766431.0,6250438.0,0.0778098750256095,0.12030321655398483,0.15306289694734684,0.16939151813153042,0.008312082032210932,0.011146608655706087,0.012956020803855972,0.013227872990660814
Tuvalu,All sectors without LULUCF,7.3419,7.3423,11.027,12.6369,26.0,9638.0,10550.0,10877.0,11069.0,0.2823807692307692,0.28239615384615385,0.42411538461538456,0.4860346153846154,0.000761765926540776,0.0006959526066350711,0.0010137905672519996,0.0011416478453338153
Uganda,All sectors without LULUCF,1441.0,3741.0,4713.0,6115.0,241038.0,24020697.0,32341728.0,37477356.0,44404611.0,0.005978310473867191,0.015520374380803026,0.019552933562342868,0.025369443822135927,5.998993284832659e-05,0.0001156709993974348,0.00012575593646467484,0.00013771092375969694
Ukraine,All sectors without LULUCF,372230.1,335243.3,219109.16,185711.6,603550.0,48879755.0,45683020.0,44982564.0,43909666.0,0.6167344876149449,0.5554524065943169,0.3630339822715599,0.3076987822052854,0.007615220248137496,0.007338466239753851,0.004870979786745815,0.0042294013350044615
United Arab Emirates,All sectors without LULUCF,115500.0,163700.0,251000.0,179800.0,83600.0,3275333.0,8481771.0,8916899.0,9287289.0,1.381578947368421,1.958133971291866,3.0023923444976077,2.150717703349282,0.03526358999222369,0.01930021454245817,0.028148799263062192,0.01935979379989144
United States,All sectors without LULUCF,5890730.0,5534730.0,5287730.0,4555730.0,9833517.0,282398554.0,311182845.0,324607776.0,335942003.0,0.5990460991728596,0.5628433855354091,0.5377252106240321,0.46328592303242067,0.020859632305341054,0.017786102572588794,0.016289597449446188,0.013561061014451354
Uruguay,All sectors without LULUCF,5335.23,6371.29,6789.32,8020.36,176215.0,3292224.0,3352651.0,3402818.0,3429086.0,0.030276820928978803,0.03615634310359504,0.03852861561161081,0.045514627018131255,0.0016205549804630547,0.00190037376392592,0.0019952051505546286,0.0023389206336615646
Uzbekistan,All sectors without LULUCF,126320.0,110270.0,108140.0,115860.0,447400.0,24925554.0,28614227.0,30949417.0,33526656.0,0.28234242288779615,0.24646848457755924,0.24170764416629414,0.2589628967367009,0.005067891369636157,0.00385367740320226,0.003494088434686831,0.0034557577111179833
Vanuatu,All sectors without LULUCF,86.99,124.11,135.17,163.37,12189.0,192074.0,245453.0,276438.0,311685.0,0.007136762654852736,0.010182131429977849,0.011089506932480104,0.013403068340306834,0.00045289836208961125,0.0005056365169706624,0.0004889704020431344,0.0005241509857708905
Yemen,All sectors without LULUCF,15481.0,24220.0,14136.0,16622.0,527968.0,18628700.0,24743946.0,28516545.0,32284046.0,0.029321852839566034,0.04587399236317353,0.026774349960603672,0.03148296866476756,0.0008310295404402884,0.0009788252851828888,0.0004957122260077439,0.0005148673124799785
Zambia,All sectors without LULUCF,1822.0,2607.0,4286.0,6130.0,752618.0,9891136.0,13792086.0,16248230.0,18927715.0,0.002420882838305754,0.00346390864954067,0.005694788059812547,0.008144902194738898,0.00018420533293647968,0.00018902144316675518,0.0002637825781638985,0.00032386370990898796
Zimbabwe,All sectors without LULUCF,14588.0,8380.0,12731.0,10054.0,390757.0,11834676.0,12839771.0,14154937.0,15669666.0,0.03733266454599662,0.021445553118690133,0.03258035044797662,0.025729545471994103,0.0012326488701507334,0.0006526596151909563,0.0008994035084719911,0.0006416218443966834
