Area,Item,2000,2010,2015,2020,Land Area(Km2),2000 Population,2010 Population,2015 Population,2020 Population,2000/area,2010/area,2015/area,2020/area,2000/pop,2010/pop,2015/pop,2020/pop
Brazil,All sectors without LULUCF,347025.0,438862.0,521679.0,453396.0,8515770.0,175873720.0,196353492.0,205188205.0,213196304.0,0.040750865746726365,0.051535210556414746,0.061260344044050036,0.05324192644939917,0.001973148688729618,0.002235060836096564,0.002542441462461256,0.0021266597567282403
Bulgaria,All sectors without LULUCF,46996.3,45847.51,47255.7,36816.35,110879.0,8097691.0,7592273.0,7309253.0,6979175.0,0.42385212709349834,0.41349137347919807,0.42619161428223556,0.33204078319609664,0.005803666748953498,0.006038706721952701,0.006465188713538852,0.005275172208749602
Burkina Faso,All sectors without LULUCF,1086.9,2120.14,3816.19,4630.286,274200.0,11882888.0,16116845.0,18718019.0,21522626.0,0.003963894967177244,0.007732093362509117,0.013917541940189643,0.016886528081692196,9.14676634165028e-05,0.00013154807904400644,0.00020387787831607608,0.00021513573668937983
Burundi,All sectors without LULUCF,295.9,324.1,437.5,552.8,27830.0,6307659.0,9126605.0,10727148.0,12220227.0,0.010632411067193676,0.011645706072583544,0.015720445562342797,0.019863456701401362,4.691122332389877e-05,3.5511562075930754e-05,4.078437250982274e-05,4.523647555810542e-05
Cambodia,All sectors without LULUCF,2017.57,5147.61,8610.6,17492.3,181035.0,12118841.0,14363532.0,15417523.0,16396860.0,0.011144640539122268,0.028434335901897423,0.047563178390918885,0.09662385726516971,0.00016648209181059474,0.0003583805153217189,0.0005584943833065792,0.0010668079132224097
Cameroon,All sectors without LULUCF,5953.0,8862.0,10232.0,9920.0,475440.0,15091594.0,19878036.0,23012646.0,26491087.0,0.012521033148241628,0.018639575971731447,0.021521117280834594,0.020864883055695775,0.00039445800092422314,0.00044581869154477837,0.0004446250987391889,0.00037446557025009957
Canada,All sectors without LULUCF,558790.0,543755.0,574037.0,546321.0,9984670.0,30683313.0,33963412.0,35732126.0,37888705.0,0.05596479402924683,0.05445898562496307,0.05749183498302898,0.054715979596721774,0.018211527549192617,0.016010022785696562,0.016065011077146654,0.014419099306772295
Central African Republic,All sectors without LULUCF,286.9,285.2,314.5,315.1,622984.0,3759170.0,4660067.0,4819333.0,5343020.0,0.00046052547095912574,0.00045779666893531773,0.0005048283744044791,0.0005057914810011172,7.632003873195413e-05,6.120083681200292e-05,6.52579931704242e-05,5.8974138221455286e-05
Chad,All sectors without LULUCF,522.7,1155.4,1231.0,1591.0,1284000.0,8259137.0,11894727.0,14140274.0,16644701.0,0.00040708722741433025,0.0008998442367601246,0.0009587227414330218,0.0012390965732087228,6.32874839102439e-05,9.713547860325e-05,8.705630456665833e-05,9.558597658197645e-05
Chile,All sectors without LULUCF,60300.0164,72460.0491,82350.0506,77080.0594,756096.0,15351799.0,17004162.0,17870124.0,19300315.0,0.07975179924242425,0.0958344563388776,0.10891480790799052,0.1019448051570171,0.003927879488260627,0.00426131255983094,0.004608252891809816,0.003993720278658664
China,All sectors without LULUCF,3839649.997,9311518.108,10722793.6,11515339.48,9596960.0,1264099069.0,1348191368.0,1393715448.0,1424929781.0,0.4000902365957553,0.9702570509828111,1.1173114819692902,1.1998944957569897,0.003037459714322438,0.006906673881033185,0.007693674928686016,0.00808133820595613
Colombia,All sectors without LULUCF,57483.3,77966.0,87867.2,89308.4,1138910.0,39215135.0,44816108.0,47119728.0,50930662.0,0.05047220588106172,0.06845668226637751,0.07715025770254015,0.07841567814840505,0.001465844756112659,0.0017396869893298186,0.0018647645843796043,0.0017535291412469761
Comoros,All sectors without LULUCF,104.9,163.45,171.59,228.9,2235.0,536758.0,656024.0,730216.0,806166.0,0.0469351230425056,0.07313199105145414,0.07677404921700223,0.10241610738255034,0.00019543257855495402,0.00024915247003158417,0.0002349852646340261,0.00028393655897172545
Costa Rica,All sectors without LULUCF,5471.0,7591.0,7492.0,8177.0,51100.0,3979193.0,4622252.0,4895242.0,5123105.0,0.10706457925636008,0.1485518590998043,0.14661448140900196,0.16001956947162427,0.0013749018959371912,0.0016422730738176975,0.0015304657052705463,0.001596102363703262
