Canada,All sectors without LULUCF,558790.0,543755.0,574037.0,546321.0
Cayman Islands,All sectors with LULUCF,4.5493,1.9305,-1.7112,-3.7005
Central African Republic,All sectors with LULUCF,14236.0646,14238.6775,14273.262,14288.7702
Central African Republic,All sectors without LULUCF,286.9,285.2,314.5,315.1
Chad,All sectors with LULUCF,8148.8277,17830.6557,27128.4467,24924.3687
Chad,All sectors without LULUCF,522.7,1155.4,1231.0,1591.0
Channel Islands,All sectors with LULUCF,0.0,0.0,0.0,0.0
Chile,All sectors with LULUCF,43552.8875,36980.1293,1603.5853,19846.5716
Chile,All sectors without LULUCF,60300.0164,72460.0491,82350.0506,77080.0594
China,All sectors with LULUCF,3492459.564,8981484.344,10014817.24,10867491.08
China,All sectors without LULUCF,3839649.997,9311518.108,10722793.6,11515339.48
"China, Hong Kong SAR",All sectors with LULUCF,40607.31,40273.2,42636.6,29605.3
"China, Hong Kong SAR",All sectors without LULUCF,40607.31,40273.2,42636.6,29605.3
"China, Macao SAR",All sectors with LULUCF,1679.787,1236.008,2035.797,2371.884
"China, Macao SAR",All sectors without LULUCF,1679.787,1236.008,2035.797,2371.884
"China, mainland",All sectors with LULUCF,3217711.567,8658526.236,9693443.643,10564611.6
"China, mainland",All sectors without LULUCF,3564902.0,8988560.0,10401420.0,11212460.0
"China, Taiwan Province of",All sectors with LULUCF,232460.9,281448.9,276701.2,270902.3
"China, Taiwan Province of",All sectors without LULUCF,232460.9,281448.9,276701.2,270902.3
Colombia,All sectors with LULUCF,149967.179,158369.9047,144235.7541,172185.1764
Colombia,All sectors without LULUCF,57483.3,77966.0,87867.2,89308.4
Comoros,All sectors with LULUCF,164.7556,223.3056,231.4456,288.7556
Comoros,All sectors without LULUCF,104.9,163.45,171.59,228.9
Congo,All sectors with LULUCF,12995.1112,13773.069,14543.5823,14745.7136
Congo,All sectors without LULUCF,4602.3026,5427.5039,5818.0051,5061.0057
Cook Islands,All sectors with LULUCF,26.5887,47.7427,59.6417,76.8934
Cook Islands,All sectors without LULUCF,47.7977,51.3672,62.3988,80.007
Costa Rica,All sectors with LULUCF,7874.0288,7068.4177,150.5022,803.7714
Costa Rica,All sectors without LULUCF,5471.0,7591.0,7492.0,8177.0
