Country/Territory,2000 Population,2010 Population,2015 Population,2020 Population
Norway,4491202,4889741,5190356,5379839
Oman,2344253,2881914,4191776,4543399
Pakistan,154369924,194454498,210969298,227196741
Palau,19726,18540,17794,17972
Palestine,3139954,3992278,4484614,5019401
Panama,3001731,3623617,3957099,4294396
Papua New Guinea,5508297,7583269,8682174,9749640
Paraguay,5123819,5768613,6177950,6618695
Peru,26654439,29229572,30711863,33304756
Philippines,77958223,94636700,103031365,112190977
Poland,38504431,38597353,38553146,38428366
Portugal,10300626,10588401,10365435,10298192
Puerto Rico,3827108,3717922,3497335,3271564
Qatar,645937,1713504,2414573,2760385
Republic of the Congo,3134030,4437884,5064386,5702174
Reunion,785424,890130,922495,957822
Romania,21919876,20335211,19906079,19442038
Russia,146844839,143242599,144668389,145617329
Rwanda,8109989,10309031,11642959,13146362
Saint Barthelemy,7082,8988,9643,10681
Saint Kitts and Nevis,45461,47403,47790,47642
Saint Lucia,159500,170935,175623,179237
Saint Martin,29610,36458,35020,32552
Saint Pierre and Miquelon,6274,6052,5978,5906
Saint Vincent and the Grenadines,113813,109308,106482,104632
Samoa,184008,194672,203571,214929
San Marino,26823,31608,33570,34007
Sao Tome and Principe,143714,182138,201124,218641
Saudi Arabia,21547390,29411929,32749848,35997107
Senegal,9704287,12530121,14356181,16436119
Serbia,7935022,7653748,7519496,7358005
Seychelles,80060,92409,99240,105530
Sierra Leone,4584067,6436698,7314773,8233969
Singapore,4053602,5163590,5650018,5909869
Sint Maarten,30489,33034,40205,43621
Slovakia,5376690,5396424,5424444,5456681
Slovenia,1984339,2057286,2080862,2117641
Solomon Islands,429978,540394,612660,691191
Somalia,8721465,12026649,13763906,16537016
South Africa,46813266,51784921,55876504,58801927
South Korea,46788591,48813042,50994401,51844690
South Sudan,6114440,9714419,11194299,10606227
Spain,40741651,46572772,46431342,47363807
Sri Lanka,18776371,20668557,21336697,21715079
Sudan,26298773,33739933,38171178,44440486
Suriname,478998,546080,575475,607065
Sweden,8871043,9381729,9849349,10368969
Switzerland,7182059,7822435,8281732,8638613
Syria,16307654,22337563,19205178,20772595
Taiwan,22194731,23083083,23512136,23821464
Tajikistan,6272998,7621779,8524063,9543207
Tanzania,34463704,45110527,52542823,61704518
Thailand,63066603,68270489,70294397,71475664
