Area,Item,2000,2005,2010,2015,2020
Estonia,All sectors with LULUCF,18064.6878,20314.0859,22347.9082,16939.2125,20623.2594
Eswatini,All sectors with LULUCF,1084.1952,884.5612,894.7812,851.0815,771.1469
Ethiopia,All sectors with LULUCF,28713.1046,34890.6471,36369.8906,43156.7286,45997.1036
Ethiopia PDR,All sectors with LULUCF,,,,,
Falkland Islands (Malvinas),All sectors with LULUCF,5525.9228,5513.9702,5513.1332,5514.1447,5513.6247
Faroe Islands,All sectors with LULUCF,235.8299,235.8098,235.8098,235.769,236.2762
Fiji,All sectors with LULUCF,-1727.8504,-1532.05,-1425.9234,-516.0108,30.5532
Finland,All sectors with LULUCF,28851.6491,47679.9053,55797.4691,-2864.4306,50915.57
France,All sectors with LULUCF,367617.3658,350693.5507,318655.6151,281662.5046,220304.6317
French Guyana,All sectors with LULUCF,3566.3072,3379.4644,3379.5455,2603.5436,2711.3962
French Polynesia,All sectors with LULUCF,-116.7509,-27.9663,-27.9663,0.0,0.0
Gabon,All sectors with LULUCF,9895.2755,9333.8132,8895.5444,12926.9769,11620.2058
Gambia,All sectors with LULUCF,810.3371,862.5171,966.5271,1058.8351,1205.6191
Georgia,All sectors with LULUCF,-12569.5508,2534.641,3607.841,10540.0,9650.0
Germany,All sectors with LULUCF,837526.9386,831609.503,793988.1195,749068.4079,592188.1812
Ghana,All sectors with LULUCF,16331.4426,52816.232,55738.9256,45970.4961,-5088.1732
Gibraltar,All sectors with LULUCF,0.0,0.0,0.0,0.0,0.0
Greece,All sectors with LULUCF,91111.2861,98608.2984,83926.5309,68903.1388,53447.3619
Greenland,All sectors with LULUCF,-0.1356,-0.0219,-0.0219,-0.0992,-0.0926
Grenada,All sectors with LULUCF,191.921,217.08,261.15,261.1,267.13
Guadeloupe,All sectors with LULUCF,66.66,53.328,53.328,-99.2493,44.44
Guam,All sectors with LULUCF,0.0,0.0,0.0,0.0,-158.4
Guatemala,All sectors with LULUCF,25976.2987,25886.9296,24916.9296,23332.6016,17349.9627
Guinea,All sectors with LULUCF,12017.5214,12697.2878,13365.5078,13372.2702,15528.7948
Guinea-Bissau,All sectors with LULUCF,1640.4985,1707.5485,1733.3685,1774.5225,1875.42
Guyana,All sectors with LULUCF,8577.426,9516.3717,9765.0069,17522.6557,15209.111
Haiti,All sectors with LULUCF,1432.172,2146.389,2192.389,3874.3913,3738.634
Holy See,All sectors with LULUCF,6.3321,6.8127,5.7022,4.7139,3.7784
Honduras,All sectors with LULUCF,10559.0368,13044.0944,13409.9944,16162.0668,15147.6634
Hungary,All sectors with LULUCF,60037.8515,62928.0787,55506.5312,48753.1787,51391.6467
Iceland,All sectors with LULUCF,3658.0767,3883.564,4499.444,4364.2966,3618.043
India,All sectors with LULUCF,856192.41,1286553.774,1770853.978,2328036.609,2465565.037
Indonesia,All sectors with LULUCF,738925.3458,780442.9013,735213.8296,1531308.554,1082894.641
Iran (Islamic Republic of),All sectors with LULUCF,353485.3141,429430.2751,544030.2751,654700.0,781755.6754
Iraq,All sectors with LULUCF,79402.6247,116718.2963,112438.2963,169974.7,213296.1
Ireland,All sectors with LULUCF,50520.0126,52057.9665,48504.9415,44433.1213,38365.183
Isle of Man,All sectors with LULUCF,20.433,20.1963,20.3239,20.3625,20.4361
Israel,All sectors with LULUCF,61995.756,60322.784,71352.784,69034.988,64361.7667
Italy,All sectors with LULUCF,428131.8222,451385.5812,380457.398,308491.9369,274213.2477
Jamaica,All sectors with LULUCF,10717.1665,7955.1021,5310.5145,8243.0532,7599.5237
Japan,All sectors with LULUCF,1208090.625,1213105.482,1142273.719,1169964.486,1004220.297
Jordan,All sectors with LULUCF,15350.0,20510.0,20680.0,25350.0,18810.0
Kazakhstan,All sectors with LULUCF,127687.3455,188076.3663,258184.8463,230295.667,267041.4375
Kenya,All sectors with LULUCF,6257.4558,23729.2929,27217.3444,24972.9575,8398.9284
Kiribati,All sectors with LULUCF,33.53,59.309,59.311,62.943,76.394
Kuwait,All sectors with LULUCF,55750.9513,76387.0014,93267.0014,101019.7799,106257.0232
Kyrgyzstan,All sectors with LULUCF,3750.1337,5689.7365,6502.7365,9718.4619,7416.1619
Lao People's Democratic Republic,All sectors with LULUCF,11483.9647,13539.0445,15211.7545,17951.345,30453.245
Latvia,All sectors with LULUCF,-2894.8718,-3118.7173,-2173.5058,15265.6662,6643.3391
Lebanon,All sectors with LULUCF,15503.2152,16697.372,19997.289,25734.0669,17861.4869
Lesotho,All sectors with LULUCF,1855.61,2015.67,2285.95,2336.29,2296.66
Liberia,All sectors with LULUCF,13831.5115,14082.181,14189.8273,14636.0579,14849.7467
Libya,All sectors with LULUCF,49660.0,54770.0,64240.0,49290.0,42970.0
Liechtenstein,All sectors with LULUCF,219.8424,239.8987,197.0117,148.6636,130.6201
Lithuania,All sectors with LULUCF,18217.2145,20084.5072,19542.0308,14342.6439,19703.4922
Luxembourg,All sectors with LULUCF,8027.8523,11285.7023,10407.7023,8931.1355,7853.8019
Madagascar,All sectors with LULUCF,29820.5883,22788.5713,23009.407,12599.2152,12712.5603
Malawi,All sectors with LULUCF,8827.1236,8885.0114,9019.6577,9028.5536,9223.0626
Malaysia,All sectors with LULUCF,233453.1876,287558.7896,319234.8882,130852.158,327429.1302
Maldives,All sectors with LULUCF,454.31,604.76,939.25,1305.9,1667.71
Mali,All sectors with LULUCF,893.67,989.04,2061.78,3181.56,3892.22
Malta,All sectors with LULUCF,2152.5072,2743.2655,2606.2045,1677.2661,2212.9852
Marshall Islands,All sectors with LULUCF,99.0,114.0,136.0,143.0,168.0
Martinique,All sectors with LULUCF,-59.4,-102.3,-102.3,-132.0,-132.0
Mauritania,All sectors with LULUCF,1522.4049,1851.9075,2424.0075,3391.7248,2566.212
Mauritius,All sectors with LULUCF,2676.5485,3390.2151,4014.9151,4229.9799,4770.3274
Mayotte,All sectors with LULUCF,64.1074,24.5241,24.5241,9.3714,13.297
Mexico,All sectors with LULUCF,448347.905,415449.3912,434538.1912,513897.0384,405922.7793
Micronesia (Federated States of),All sectors with LULUCF,98.8776,91.4269,73.4269,113.6882,129.0673
Monaco,All sectors with LULUCF,114.725,107.26,93.77,92.97,76.31
Mongolia,All sectors with LULUCF,31111.2522,32172.3357,37702.4498,46260.8312,62366.3849
Montenegro,All sectors with LULUCF,,,-1571.8386,2390.2944,2293.2539
Montserrat,All sectors with LULUCF,22.5151,-0.5493,-0.5493,-0.3363,-0.7273
Morocco,All sectors with LULUCF,28565.6862,40466.1562,50076.1562,57349.5305,61170.8012
Mozambique,All sectors with LULUCF,49834.66,51667.666,52527.666,52940.6786,61897.5534
Myanmar,All sectors with LULUCF,148447.4023,132002.9123,136133.8135,128614.972,131409.3332
Namibia,All sectors with LULUCF,12210.4157,12938.4847,13741.1274,14458.8193,14586.6538
Nauru,All sectors with LULUCF,84.683,62.728,44.452,55.467,55.087
Nepal,All sectors with LULUCF,1267.3755,-1646.2632,206.3861,9289.2723,16921.3214
Netherlands,All sectors with LULUCF,195276.1813,200124.1526,206224.979,185869.1523,161749.416
